 +--------------------------------- versionCode
 |        +------------------------ versionName
 |        |           +------------ MuninFoo.version
 |        |           |       +---- comment
 |        |           |       |
 1     | 1.1        | 1.1   |
 2     | 1.2        | 1.2   |
 3     | 1.3        | 1.3   |
 4     | 1.4        | 1.4   |
 5     | 1.4.1      | 1.5   |
 6     | 1.4.2      | 1.6   |
 7     | 1.4.5      | 1.7   |
 8     | 1.4.6      | 1.8   |
 10    | 2.0        | 1.9   |
 11    | 2.0.1      | 2.0   |
 12    | 2.1        | 2.1   |
 13    | 2.2        | 2.2   |
 14    | 2.3        | 2.3   |
 15    | 2.4        | 2.4   |
 16    | 2.5        | 2.5   |
 17    | 2.6        | 2.6   |
 18    | 2.6.1      | 2.7   |
 19    | 2.6.2      | 2.8   |
 20    | 2.6.3      | 2.9   |
 21    | 2.6.4      | 3.0   |
 22    | 2.6.5      | 3.1   |
 23    | 2.7        | 3.2   |
 24    | 2.7.1      | 3.3   |
 25    | 2.7.5      | 3.4   | beta
 26    | 2.7.6      | 3.5   | beta
 27    | 2.7.7      | 3.6   |
 28    | 2.8        | 3.7   |
 29    | 2.8.1      | 3.8   |
 30    | 2.8.2      | 3.9   |
 31    | 2.8.3      | 4.0   |
 32    | 2.8.4      | 4.1   |
 33    | 3.0        | 4.2   |
 34    | 3.1        | 4.3   |
 35    | 3.2        | 4.4   |
 36    | 3.2.1      | 4.5   |
 37    | 3.3        | 4.6   |
 38    | 3.4        | 4.7   |
 39    | 3.4.5      | 4.8   |
 40    | 3.4.6      | 4.9   |
 41    | 3.4.7      | 5.0   |
 42    | 3.4.8      | 5.1   |
 43    | 3.4.9      | 5.2   |
 44    | 3.5-beta1  | 5.3   | beta
 45    | 3.5-beta2  | 5.4   | beta
 46    | 3.5-beta3  | 5.5   | beta
 47    | 3.5-beta4  | 5.6   | beta
 48    | 3.5        | 5.7   |
 49    | 3.5.1      | 5.8   |
 50    | 3.5.2      | 5.9   |
 51    | 3.6        | 6.0   |
 52    | 3.6.1      | 6.1   |
 53    | 3.6.2      | 6.2   |
 54    | 3.6.3-beta1| 6.3   | beta
 55    | 3.6.3-beta2| 6.4   | beta
 56    | 3.6.4      | 6.5   |
